ID,Region,Departement,Date,N_Placette,X,Y,N_trees,AGB_tha_(Model_Chave_al),AGB_tha_(Model_Mbow_al)
Saint-Louis_Dagana_320,Saint-Louis,Dagana,2026-01-15,320,389501,1791714,0,0.0,0.0
Saint-Louis_Dagana_273,Saint-Louis,Dagana,2026-01-15,273,391868,1785136,0,0.0,0.0
Saint-Louis_Dagana_233,Saint-Louis,Dagana,2026-01-15,233,390230,1785256,0,0.0,0.0
Saint-Louis_Dagana_388,Saint-Louis,Dagana,2026-01-15,388,389640,1791718,58,4.667817877567614,20.713145464815142
Saint-Louis_Dagana_218,Saint-Louis,Dagana,2026-01-15,218,390754,1786002,8,11.658319823158202,51.95001365422414
Saint-Louis_Dagana_384,Saint-Louis,Dagana,2026-01-15,384,389802,1792414,21,0.6735007852942033,3.2247526946002383
Saint-Louis_Dagana_242,Saint-Louis,Dagana,2026-01-15,242,391381,1785291,8,7.742859367247865,35.80230233587958
Saint-Louis_Dagana_235,Saint-Louis,Dagana,2026-01-15,235,390272,1786721,2,2.218980235020695,7.469589102580095
Saint-Louis_Dagana_262,Saint-Louis,Dagana,2026-01-15,262,391646,1786211,0,0.0,0.0
Saint-Louis_Dagana_261,Saint-Louis,Dagana,2026-01-15,261,390610,1786589,25,7.813794228953297,24.997969552246833
Saint-Louis_Dagana_304,Saint-Louis,Dagana,2026-01-15,304,391058,1792249,0,0.0,0.0
Saint-Louis_Dagana_386,Saint-Louis,Dagana,2026-01-15,386,390215,1792291,0,0.0,0.0
Saint-Louis_Dagana_305,Saint-Louis,Dagana,2026-01-15,305,389055,1792735,0,0.0,0.0
Saint-Louis_Dagana_352,Saint-Louis,Dagana,2026-01-15,352,389136,1791852,32,3.593460334649697,12.34579814339747
Saint-Louis_Dagana_333,Saint-Louis,Dagana,2026-01-15,333,390415,1791819,0,0.0,0.0
Saint-Louis_Dagana_348,Saint-Louis,Dagana,2026-01-15,348,391302,1791839,0,0.0,0.0
Saint-Louis_Dagana_309,Saint-Louis,Dagana,2026-01-15,309,389369,1792539,0,0.0,0.0
Saint-Louis_Dagana_251,Saint-Louis,Dagana,2026-01-15,251,391120,1786476,11,2.246246331794538,6.5050852794833505
Saint-Louis_Dagana_343,Saint-Louis,Dagana,2026-01-15,343,389450,1791112,0,0.0,0.0
Saint-Louis_Dagana_267,Saint-Louis,Dagana,2026-01-15,267,391530,1785820,11,4.358651666536332,11.823372042698324
Saint-Louis_Dagana_207,Saint-Louis,Dagana,2026-01-15,207,390335,1786521,0,0.0,0.0
Kolda_Vélingara_FCKY04,Kolda,Vélingara,2026-01-26,FCKY04,614108,1425838,97,16.701150898767953,34.500961996504756
Kolda_Velingara_ND1,Kolda,Velingara,2026-01-27,ND1,588999,1449098,76,27.05855940172485,72.55841527211693
Kolda_Velingara_81,Kolda,Velingara,2026-01-27,81,575185,1447776,180,8.953940750964462,29.462862537011098
Kolda_Vélingara_FCKY05,Kolda,Vélingara,2026-01-26,FCKY05,612492,1420647,109,11.88592568758674,34.62002978830538
Kolda_Vélingara_FCKY02,Kolda,Vélingara,2026-01-26,FCKY02,613813,1425261,147,37.98012577699562,85.42870355688176
Kolda_Vélingara_FCKY03,Kolda,Vélingara,2026-01-26,FCKY03,613847,1425642,84,25.86692817094825,67.61894214142053
Kolda_Velingara_91,Kolda,Velingara,2026-01-27,91,574608,1447053,25,73.87748693865042,288.5484589207231
Kolda_Velingara_92,Kolda,Velingara,2026-01-27,92,574168,1446295,31,41.95565193711978,98.79254624095049
Kolda_Vélingara_FCKY01,Kolda,Vélingara,2026-01-26,FCKY01,612765,1421618,122,19.92255561459099,48.47797396679487
Kolda_Velingara_ND3,Kolda,Velingara,2026-01-27,ND3,589982,1449793,29,5.364998790055801,12.244685018614401
Kolda_Vélingara_ND2,Kolda,Vélingara,2026-01-27,ND2,589455,1449539,83,33.31998058217867,96.50193359046025
Tambacounda_Tambacounda_74,Tambacounda,Tambacounda,2026-01-23,74,568644,1518114,59,3.198583417385601,11.718056232699233
Tambacounda_Koumpentoum_59,Tambacounda,Koumpentoum,2026-01-22,59,599435,1562356,48,10.000441591444458,30.416499061649848
Tambacounda_Tambacounda_18,Tambacounda,Tambacounda,2026-01-24,18,636351,1501031,86,14.594363924727917,41.01858072775659
Tambacounda_Tambacounda_34,Tambacounda,Tambacounda,2026-01-24,34,637139,1500524,37,7.263426276807681,23.452400979105526
Tambacounda_Tambacounda_2,Tambacounda,Tambacounda,2026-01-23,2,576980,1501153,143,25.920899507304895,88.08579533180097
Tambacounda_Tambacounda_42,Tambacounda,Tambacounda,2026-01-22,42,614414,1563728,38,16.743442099977848,68.14870429027782
Tambacounda_Koumpentoum_74,Tambacounda,Koumpentoum,2026-01-22,74,599648,1562656,49,4.842179453999858,17.787007232191073
Tambacounda_Tambacounda_23,Tambacounda,Tambacounda,2026-01-22,23,615014,1563097,23,3.276345356977503,12.052953048108384
Tambacounda_Koumpentoum_62,Tambacounda,Koumpentoum,2026-01-22,62,599289,1561899,39,2.1649687772058344,7.74221654650454
Tambacounda_Tambacounda_52,Tambacounda,Tambacounda,2026-01-23,52,568614,1518356,76,5.856606503721605,21.124884276185853
Tambacounda_Tambacounda_45,Tambacounda,Tambacounda,2026-01-22,45,613957,1564204,31,0.8013318347801197,3.826457851327036
Tambacounda_Tambacounda_49,Tambacounda,Tambacounda,2026-01-24,49,637684,1501277,53,10.271272207293284,30.61531840071542
Tambacounda_Tambacounda_73,Tambacounda,Tambacounda,2026-01-23,73,568330,1518608,41,2.9242199153036776,10.87306782468056
Tambacounda_Koumpentoum_72,Tambacounda,Koumpentoum,2026-01-22,72,599942,1561823,39,6.751806977959965,22.055443334076276
Tambacounda_Tambacounda_33,Tambacounda,Tambacounda,2026-01-23,33,577844,1501136,93,41.29866203628976,181.3176668047995
Tambacounda_Tambacounda_62,Tambacounda,Tambacounda,2026-01-23,62,568363,1518829,59,1.5150957352023908,7.191490707486866
Tambacounda_Koumpentoum_91,Tambacounda,Koumpentoum,2026-01-22,91,600201,1562918,35,6.268714162307913,22.29330537011909
Tambacounda_Tambacounda_29,Tambacounda,Tambacounda,2026-01-23,29,577684,1500197,72,3.784353405869573,12.987267167937384
Tambacounda_Koumpentoum_52,Tambacounda,Koumpentoum,2026-01-22,52,599784,1562327,63,2.2611564510489406,8.960473031993423
Tambacounda_Tambacounda_51,Tambacounda,Tambacounda,2026-01-23,51,568328,1518243,109,6.02078706325569,20.43298302905369
Tambacounda_Tambacounda_26,Tambacounda,Tambacounda,2026-01-22,26,614771,1564528,118,2.905153106427802,14.144050056657026
Tambacounda_Koumpentoum_88,Tambacounda,Koumpentoum,2026-01-22,88,600000,1562425,39,7.401456822837392,23.862995864322762
Tambacounda_Tambacounda_31,Tambacounda,Tambacounda,2026-01-23,31,578427,1501057,43,7.70289181199798,20.923777084813324
Tambacounda_Tambacounda_36,Tambacounda,Tambacounda,2026-01-24,36,637187,1499831,112,6.74776409657716,26.956843618229907
Tambacounda_Tambacounda_57,Tambacounda,Tambacounda,2026-01-23,57,568575,1518800,40,13.45816593169663,42.42493846161221
Tambacounda_Tambacounda_1,Tambacounda,Tambacounda,2026-01-24,1,636311,1500196,29,13.343326656980544,45.57976245309145
Louga_Kebemer_117,Louga,Kebemer,2026-01-17,117,332886,1717293,21,4.864823389571489,22.749383753916803
Louga_Linguère_101,Louga,Linguère,2026-01-19,101,422132,1675477,6,4.577569947035606,13.00544564659366
Louga_Linguère_2,Louga,Linguère,2026-01-19,2,430176,1670263,0,0.0,0.0
Louga_Kebemer_55,Louga,Kebemer,2026-01-17,55,340740,1728463,1,1.2852539687096811,4.439652005508279
Louga_Linguère_137,Louga,Linguère,2026-01-19,137,420988,1676212,5,0.327297413360105,1.084441993492402
Louga_Kebemer_96,Louga,Kebemer,2026-01-17,96,332609,1717590,2,0.8200635121006604,3.147139791883082
Louga_Louga_161,Louga,Louga,2026-01-16,161,389956,1765187,3,7.48084476986223,28.971720329813454
Louga_Linguère_39,Louga,Linguère,2026-01-19,39,428939,1669238,38,15.706373871608934,43.013886354931806
Louga_Linguère_15,Louga,Linguère,2026-01-19,15,428752,1669689,0,0.0,0.0
Louga_Linguère_3,Louga,Linguère,2026-01-19,3,428735,1668542,0,0.0,0.0
Louga_Linguère_23,Louga,Linguère,2026-01-19,23,428486,1670546,4,2.8272871882183797,7.0929638505290376
Louga_Louga_194,Louga,Louga,2026-01-16,194,388825,1765435,1,1.092172109595166,5.350739450829805
Louga_Kebemer_116,Louga,Kebemer,2026-01-17,116,332314,1717513,1,0.1980179631641728,0.7748358932589493
Louga_Linguère_4,Louga,Linguère,2026-01-19,4,430312,1669430,0,0.0,0.0
Louga_Kebemer_53,Louga,Kebemer,2026-01-17,53,340788,1728791,2,0.0207550776671522,0.1786016877009363
Louga_Louga_189,Louga,Louga,2026-01-16,189,390558,1765441,0,0.0,0.0
Louga_Louga_90,Louga,Louga,2026-01-16,90,396907,1755096,7,3.54885507077243,12.368477722788064
Louga_Linguère_146,Louga,Linguère,19-01-2026,146,421574,1676225,23,25.834857815292928,72.73671854429956
Louga_Kebemer_32,Louga,Kebemer,2026-01-17,32,340853,1729139,0,0.0,0.0
Louga_Linguere_46,Louga,Linguere,2026-01-19,46,429530,1668024,0,0.0,0.0
Louga_Kebemer_110,Louga,Kebemer,2026-01-17,110,332424,1718489,16,0.182400571073223,1.595826720014548
Louga_Kebemer_29,Louga,Kebemer,2026-01-17,29,340744,1729911,0,0.0,0.0
