Zone  ecologique,Année,Placette,Superficie _placette (m2),longitude_proj,latitude_proj,"Group,7",AGB_tha,Densite_Nha,Date
Bassin arachidier Nord,2026,FK103,803.84,357081,1606790,,39.58038913,161.7237261,2026-01-15
Bassin arachidier Nord,2026,FK104,803.84,356744,1606335,,37.80058221,12.44028662,2026-01-15
Bassin arachidier Nord,2026,FK16,803.84,365264,1606131,,6.948621616,12.44028662,2026-01-15
Bassin arachidier Nord,2026,FK2,803.84,364890,1606968,,127.5765575,12.44028662,2026-01-15
Bassin arachidier Nord,2026,FK30,803.84,364960,1606637,,51.52363654,24.88057325,2026-01-15
Bassin arachidier Nord,2026,FK5,803.84,364647,1607084,,52.0701881,12.44028662,2026-01-15
Bassin arachidier Nord,2026,FK53,803.84,365404,1606935,,14.43157842,534.9323248,2026-01-15
Bassin arachidier Nord,2026,FK72,803.84,357041,1607036,,85.32130772,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG0,803.84,342234,1729890,,7.544984076,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG0,803.84,397821,1754649,,14.73626592,62.20143312,2026-01-15
Ferlo Sabloneux,2026,LG101,803.84,422132,1675477,,13.0120422,74.64171975,2026-01-15
Ferlo Sabloneux,2026,LG103,803.84,332258,1717305,,17.28110072,161.7237261,2026-01-15
Ferlo Sabloneux,2026,LG109,803.84,421668,1675304,,5.76171875,37.32085987,2026-01-15
Ferlo Sabloneux,2026,LG110,803.84,332424,1718489,,1.596636146,199.044586,2026-01-15
Ferlo Sabloneux,2026,LG112,803.84,421275,1674890,,104.1680185,572.2531847,2026-01-15
Ferlo Sabloneux,2026,LG113,803.84,422286,1676180,,21.90460788,199.044586,2026-01-15
Ferlo Sabloneux,2026,LG115,803.84,388690,1764841,,11.05525975,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG116,803.84,332314,1717513,,0.775228901,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG117,803.84,332886,1717293,,22.76092257,261.2460191,2026-01-15
Ferlo Sabloneux,2026,LG122,803.84,422548,1675147,,25.63062301,111.9625796,2026-01-15
Ferlo Sabloneux,2026,LG126,803.84,390721,1764915,,111.5839471,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG133,803.84,389490,1764918,,48.05264729,62.20143312,2026-01-15
Ferlo Sabloneux,2026,LG137,803.84,420988,1676212,,1.084992038,62.20143312,2026-01-15
Ferlo Sabloneux,2026,LG143,803.84,389940,1764801,,38.62641819,87.08200637,2026-01-15
Ferlo Sabloneux,2026,LG146,803.84,421574,1676225,,72.77361166,286.1265924,2026-01-15
Ferlo Sabloneux,2026,LG149,803.84,422622,1676011,,43.99338177,286.1265924,2026-01-15
Ferlo Sabloneux,2026,LG15,803.84,428752,1669689,,0.911151473,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG161,803.84,389956,1765187,,28.98641521,37.32085987,2026-01-15
Ferlo Sabloneux,2026,LG17,803.84,342021,1728432,,9.053319068,149.2834395,2026-01-15
Ferlo Sabloneux,2026,LG180,803.84,389752,1765571,,8.175283639,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG194,803.84,388825,1765435,,5.353453424,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG2,803.84,430176,1670263,,5.353453424,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG2,803.84,341673,1728768,,21.19961684,49.7611465,2026-01-15
Ferlo Sabloneux,2026,LG23,803.84,428486,1670546,,7.096561505,49.7611465,2026-01-15
Ferlo Sabloneux,2026,LG30,803.84,398401,1754957,,0.767018312,49.7611465,2026-01-15
Ferlo Sabloneux,2026,LG31,803.84,342319,1729394,,1.15192078,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG37,803.84,341492,1729269,,3.64281449,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG39,803.84,428939,1669238,,43.03570362,472.7308917,2026-01-15
Ferlo Sabloneux,2026,LG40,803.84,341492,1729624,,0.904657643,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG46,803.84,397227,1754173,,15.7932922,136.8431529,2026-01-15
Ferlo Sabloneux,2026,LG5,803.84,429725,1670521,,19.1442078,174.1640127,2026-01-15
Ferlo Sabloneux,2026,LG50,803.84,398816,1754627,,13.5503334,37.32085987,2026-01-15
Ferlo Sabloneux,2026,LG53,803.84,340788,1728791,,0.178692277,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG55,803.84,340740,1728463,,4.441903861,12.44028662,2026-01-15
Ferlo Sabloneux,2026,LG7,803.84,430173,1668875,,17.2159385,124.4028662,2026-01-15
Ferlo Sabloneux,2026,LG76,803.84,421817,1676078,,4.259653662,24.88057325,2026-01-15
Ferlo Sabloneux,2026,LG85,803.84,332295,1717870,,2.650253782,211.4848726,2026-01-15
Ferlo Sabloneux,2026,LG90,803.84,332624,1717101,,49.75114451,62.20143312,2026-01-15
Ferlo Sabloneux,2026,LG90,803.84,396907,1755096,,12.37475119,87.08200637,2026-01-15
Ferlo Sabloneux,2026,LG96,803.84,332609,1717590,,3.148736067,24.88057325,2026-01-15
Haute casamance,2026,KD1,803.84,612765,1421618,,49.82486715,1517.714968,2026-01-15
Haute Casamance,2026,KD81,803.84,575185,1447776,,29.39418292,2239.251592,2026-01-15
Haute Casamance,2026,KD91,803.84,574608,1447053,,288.6948149,311.0071656,2026-01-15
Haute Casamance,2026,KD92,803.84,574168,1446295,,98.84265525,385.6488854,2026-01-15
Haute Casamance,2026,KDFCKY03,803.84,613847,1425642,,67.65323945,1044.984076,2026-01-15
Haute Casamance,2026,KDFCKY04,803.84,614108,1425838,,34.51846139,1206.707803,2026-01-15
Haute Casamance,2026,KDFCKY05,803.84,612492,1420647,,27.57777667,845.9394904,2026-01-15
Haute Casamance,2026,KDFCKY2,803.84,613813,1425261,,85.97312898,1841.16242,2026-01-15
Haute Casamance,2026,KDND1,803.84,588999,1449098,,72.59521795,945.4617834,2026-01-15
Niayes continentales,2026,SL218,803.84,390754,1786002,,51.97636346,99.52229299,2026-01-15
Niayes continentales,2026,SL235,803.84,390272,1786721,,7.473377787,24.88057325,2026-01-15
Niayes continentales,2026,SL242,803.84,391381,1785291,,35.82046178,99.52229299,2026-01-15
Niayes continentales,2026,SL251,803.84,391122,1786476,,6.508384753,136.8431529,2026-01-15
Niayes continentales,2026,SL261,803.84,390610,1786589,,25.01064889,311.0071656,2026-01-15
Niayes continentales,2026,SL267,803.84,391530,1785820,,11.82936903,136.8431529,2026-01-15
Niayes continentales,2026,SL352,803.84,389136,1791852,,12.35206011,398.089172,2026-01-15
Niayes continentales,2026,SL384,803.84,389802,1792414,,3.171327627,248.8057325,2026-01-15
Niayes continentales,2026,SL388,803.84,389640,1791718,,20.81299761,721.5366242,2026-01-15
Senegal oriental Nord,2026,TC1,803.84,636311,1500196,,45.60288117,360.7683121,2026-01-15
Senegal oriental Nord,2026,TC18,803.84,636351,1501031,,41.03938595,1069.86465,2026-01-15
Senegal oriental Nord,2026,TC2,803.84,576980,1501153,,20.31476413,1492.834395,2026-01-15
Senegal oriental Nord,2026,TC23,803.84,615014,1563097,,34.36367934,721.5366242,2026-01-15
Senegal oriental Nord,2026,TC26,803.84,614771,1564528,,14.15122412,1467.953822,2026-01-15
Senegal oriental Nord,2026,TC29,803.84,577684,1500197,,12.9938545,895.7006369,2026-01-15
Senegal oriental Nord,2026,TC31,803.84,578427,1501057,,20.93438993,534.9323248,2026-01-15
Senegal oriental Nord,2026,TC33,803.84,577844,1501136,,181.4096338,1156.946656,2026-01-15
Senegal oriental Nord,2026,TC34,803.84,637139,1500524,,23.46429638,460.2906051,2026-01-15
Senegal oriental Nord,2026,TC36,803.84,637187,1499831,,26.97051652,1393.312102,2026-01-15
Senegal oriental Nord,2026,TC42,803.84,614414,1563728,,68.1832703,472.7308917,2026-01-15
Senegal oriental Nord,2026,TC45,803.84,613957,1564204,,3.828398686,385.6488854,2026-01-15
Senegal oriental Nord,2026,TC49,803.84,637684,1501277,,30.63084693,659.3351911,2026-01-15
Senegal oriental Nord,2026,TC51,803.84,568328,1518243,,20.44334693,1355.991242,2026-01-15
Senegal oriental Nord,2026,TC52,803.84,568614,1518356,,21.3142914,970.3423567,2026-01-15
Senegal oriental Nord,2026,TC52,803.84,599784,1562327,,8.965017914,783.7380573,2026-01-15
Senegal oriental Nord,2026,TC57,803.84,568575,1518800,,50.64679538,1231.588376,2026-01-15
Senegal oriental Nord,2026,TC59,803.84,599435,1562356,,30.43192675,597.133758,2026-01-15
Senegal oriental Nord,2026,TC62,803.84,568363,1518829,,7.195138336,733.9769108,2026-01-15
Senegal oriental Nord,2026,TC62,803.84,599289,1561899,,7.746143511,485.1711783,2026-01-15
Senegal oriental Nord,2026,TC72,803.84,599942,1561823,,22.06663018,485.1711783,2026-01-15
Senegal oriental Nord,2026,TC73,803.84,568330,1518608,,10.8785828,510.0517516,2026-01-15
Senegal oriental Nord,2026,TC74,803.84,568644,1518114,,11.7239998,733.9769108,2026-01-15
Senegal oriental Nord,2026,TC74,803.84,599648,1562656,,17.79602906,609.5740446,2026-01-15
Senegal oriental Nord,2026,TC88,803.84,600000,1562425,,23.87509952,485.1711783,2026-01-15
