inventory_date,latitude_proj,longitude_proj,agb,cagb,cagb_category,HCS
2026-01-15,1791714,389501,0.0,0.0,0-5,non-HCS
2026-01-15,1785136,391868,0.0,0.0,0-5,non-HCS
2026-01-15,1785256,390230,0.0,0.0,0-5,non-HCS
2026-01-15,1791718,389640,4.67,2.19,0-5,non-HCS
2026-01-15,1786002,390754,11.66,5.48,5-10,non-HCS
2026-01-15,1792414,389802,0.67,0.31,0-5,non-HCS
2026-01-15,1785291,391381,7.74,3.64,0-5,non-HCS
2026-01-15,1786721,390272,2.22,1.04,0-5,non-HCS
2026-01-15,1786211,391646,0.0,0.0,0-5,non-HCS
2026-01-15,1786589,390610,7.81,3.67,0-5,non-HCS
2026-01-15,1792249,391058,0.0,0.0,0-5,non-HCS
2026-01-15,1792291,390215,0.0,0.0,0-5,non-HCS
2026-01-15,1792735,389055,0.0,0.0,0-5,non-HCS
2026-01-15,1791852,389136,3.59,1.69,0-5,non-HCS
2026-01-15,1791819,390415,0.0,0.0,0-5,non-HCS
2026-01-15,1791839,391302,0.0,0.0,0-5,non-HCS
2026-01-15,1792539,389369,0.0,0.0,0-5,non-HCS
2026-01-15,1786476,391120,2.25,1.06,0-5,non-HCS
2026-01-15,1791112,389450,0.0,0.0,0-5,non-HCS
2026-01-15,1785820,391530,4.36,2.05,0-5,non-HCS
2026-01-15,1786521,390335,0.0,0.0,0-5,non-HCS
2026-01-26,1425838,614108,16.7,7.85,5-10,non-HCS
2026-01-27,1449098,588999,27.06,12.72,10-15,non-HCS
2026-01-27,1447776,575185,8.95,4.21,0-5,non-HCS
2026-01-26,1420647,612492,11.89,5.59,5-10,non-HCS
2026-01-26,1425261,613813,37.98,17.85,15-20,HCS
2026-01-26,1425642,613847,25.87,12.16,10-15,non-HCS
2026-01-27,1447053,574608,73.88,34.72,>=25,HCS
2026-01-27,1446295,574168,41.96,19.72,15-20,HCS
2026-01-26,1421618,612765,19.92,9.36,5-10,non-HCS
2026-01-27,1449793,589982,5.36,2.52,0-5,non-HCS
2026-01-27,1449539,589455,33.32,15.66,15-20,HCS
2026-01-23,1518114,568644,3.2,1.5,0-5,non-HCS
2026-01-22,1562356,599435,10.0,4.7,0-5,non-HCS
2026-01-24,1501031,636351,14.59,6.86,5-10,non-HCS
2026-01-24,1500524,637139,7.26,3.41,0-5,non-HCS
2026-01-23,1501153,576980,25.92,12.18,10-15,non-HCS
2026-01-22,1563728,614414,16.74,7.87,5-10,non-HCS
2026-01-22,1562656,599648,4.84,2.27,0-5,non-HCS
2026-01-22,1563097,615014,3.28,1.54,0-5,non-HCS
2026-01-22,1561899,599289,2.16,1.02,0-5,non-HCS
2026-01-23,1518356,568614,5.86,2.75,0-5,non-HCS
2026-01-22,1564204,613957,0.8,0.38,0-5,non-HCS
2026-01-24,1501277,637684,10.27,4.83,0-5,non-HCS
2026-01-23,1518608,568330,2.92,1.37,0-5,non-HCS
2026-01-22,1561823,599942,6.75,3.17,0-5,non-HCS
2026-01-23,1501136,577844,41.3,19.41,15-20,HCS
2026-01-23,1518829,568363,1.52,0.71,0-5,non-HCS
2026-01-22,1562918,600201,6.27,2.95,0-5,non-HCS
2026-01-23,1500197,577684,3.78,1.78,0-5,non-HCS
2026-01-22,1562327,599784,2.26,1.06,0-5,non-HCS
2026-01-23,1518243,568328,6.02,2.83,0-5,non-HCS
2026-01-22,1564528,614771,2.91,1.37,0-5,non-HCS
2026-01-22,1562425,600000,7.4,3.48,0-5,non-HCS
2026-01-23,1501057,578427,7.7,3.62,0-5,non-HCS
2026-01-24,1499831,637187,6.75,3.17,0-5,non-HCS
2026-01-23,1518800,568575,13.46,6.33,5-10,non-HCS
2026-01-24,1500196,636311,13.34,6.27,5-10,non-HCS
2026-01-17,1717293,332886,4.86,2.28,0-5,non-HCS
2026-01-19,1675477,422132,4.58,2.15,0-5,non-HCS
2026-01-19,1670263,430176,0.0,0.0,0-5,non-HCS
2026-01-17,1728463,340740,1.29,0.61,0-5,non-HCS
2026-01-19,1676212,420988,0.33,0.16,0-5,non-HCS
2026-01-17,1717590,332609,0.82,0.39,0-5,non-HCS
2026-01-16,1765187,389956,7.48,3.52,0-5,non-HCS
2026-01-19,1669238,428939,15.71,7.38,5-10,non-HCS
2026-01-19,1669689,428752,0.0,0.0,0-5,non-HCS
2026-01-19,1668542,428735,0.0,0.0,0-5,non-HCS
2026-01-19,1670546,428486,2.83,1.33,0-5,non-HCS
2026-01-16,1765435,388825,1.09,0.51,0-5,non-HCS
2026-01-17,1717513,332314,0.2,0.09,0-5,non-HCS
2026-01-19,1669430,430312,0.0,0.0,0-5,non-HCS
2026-01-17,1728791,340788,0.02,0.01,0-5,non-HCS
2026-01-16,1765441,390558,0.0,0.0,0-5,non-HCS
2026-01-16,1755096,396907,3.55,1.67,0-5,non-HCS
19-01-2026,1676225,421574,25.83,12.14,10-15,non-HCS
2026-01-17,1729139,340853,0.0,0.0,0-5,non-HCS
2026-01-19,1668024,429530,0.0,0.0,0-5,non-HCS
2026-01-17,1718489,332424,0.18,0.08,0-5,non-HCS
2026-01-17,1729911,340744,0.0,0.0,0-5,non-HCS
2026-01-16,1764915,390721,12.11,5.69,5-10,non-HCS
2026-01-19,1670521,429725,9.35,4.39,0-5,non-HCS
2026-01-16,1764918,389490,13.28,6.24,5-10,non-HCS
2026-01-19,1675304,421668,1.83,0.86,0-5,non-HCS
2026-01-16,1754957,398401,0.15,0.07,0-5,non-HCS
2026-01-19,1676180,422286,7.66,3.6,0-5,non-HCS
2026-01-16,1754649,397821,6.98,3.28,0-5,non-HCS
2026-01-19,1674890,421275,34.86,16.38,15-20,HCS
2026-01-17,1717984,332796,0.33,0.16,0-5,non-HCS
2026-01-17,1729394,342319,0.33,0.16,0-5,non-HCS
2026-01-19,1676011,422622,15.03,7.06,5-10,non-HCS
2026-01-19,1668752,430173,6.05,2.84,0-5,non-HCS
2026-01-16,1754627,398816,3.74,1.76,0-5,non-HCS
2026-01-16,1754173,397227,4.71,2.21,0-5,non-HCS
2026-01-17,1717870,332295,0.61,0.29,0-5,non-HCS
2026-01-16,1753977,399444,0.0,0.0,0-5,non-HCS
2026-01-17,1728768,341673,0.16,0.08,0-5,non-HCS
2026-01-17,1717305,332258,3.99,1.88,0-5,non-HCS
2026-01-16,1764841,388690,3.8,1.79,0-5,non-HCS
2026-01-17,1729624,341691,0.19,0.09,0-5,non-HCS
2026-01-17,1717101,332624,10.24,4.81,0-5,non-HCS
2026-01-17,1728432,342021,2.47,1.16,0-5,non-HCS
2026-01-19,1675147,422548,8.7,4.09,0-5,non-HCS
2026-01-16,1764801,389940,8.8,4.14,0-5,non-HCS
2026-01-17,1729890,342234,0.0,0.0,0-5,non-HCS
2026-01-17,1729269,341492,1.04,0.49,0-5,non-HCS
2026-01-16,1765571,389752,2.45,1.15,0-5,non-HCS
2026-01-19,1676078,421817,1.18,0.55,0-5,non-HCS
2026-01-20,1606798,365797,0.0,0.0,0-5,non-HCS
2026-01-20,1606968,364890,26.94,12.66,10-15,non-HCS
2026-01-20,1606397,365604,0.0,0.0,0-5,non-HCS
2026-01-20,1606935,365404,3.17,1.49,0-5,non-HCS
2026-01-20,1606181,355034,0.0,0.0,0-5,non-HCS
2026-01-20,1606137,365493,0.0,0.0,0-5,non-HCS
2026-01-20,1607036,357041,22.5,10.58,10-15,non-HCS
2026-01-20,1607135,356311,0.0,0.0,0-5,non-HCS
2026-01-20,1605921,355655,0.0,0.0,0-5,non-HCS
2026-01-20,1606760,365223,0.0,0.0,0-5,non-HCS
2026-01-20,1607084,364647,13.19,6.2,5-10,non-HCS
2026-01-20,1606637,364960,15.1,7.1,5-10,non-HCS
2026-01-20,1606892,355311,0.0,0.0,0-5,non-HCS
2026-01-20,1606335,356744,9.9,4.65,0-5,non-HCS
2026-01-20,1606784,354757,0.0,0.0,0-5,non-HCS
2026-01-20,1606790,357081,8.82,4.15,0-5,non-HCS
2026-01-20,1606120,356839,0.0,0.0,0-5,non-HCS
2026-01-20,1606131,365264,1.93,0.91,0-5,non-HCS
2026-01-20,1606797,364643,0.0,0.0,0-5,non-HCS
2026-01-20,1605810,355207,0.0,0.0,0-5,non-HCS
2024-05-01 00:00:00,1427175,481301,38.22,17.96,15-20,HCS
2024-05-01 00:00:00,1427168,482300,31.41,14.76,10-15,non-HCS
2024-05-01 00:00:00,1428175,481300,47.02,22.1,20-25,HCS
2024-05-01 00:00:00,1426175,481300,26.05,12.24,10-15,non-HCS
2024-05-01 00:00:00,1427175,480300,33.97,15.97,15-20,HCS
2024-05-01 00:00:00,1439717,453863,14.61,6.87,5-10,non-HCS
2024-05-01 00:00:00,1439717,454863,24.78,11.65,10-15,non-HCS
2024-05-01 00:00:00,1440717,453863,17.67,8.3,5-10,non-HCS
2024-05-01 00:00:00,1438717,453863,25.27,11.88,10-15,non-HCS
2024-05-01 00:00:00,1439717,452863,27.92,13.12,10-15,non-HCS
2024-05-01 00:00:00,1445731,416832,77.65,36.5,>=25,HCS
2024-05-01 00:00:00,1445731,417832,23.18,10.89,10-15,non-HCS
2024-05-01 00:00:00,1446731,416832,14.59,6.86,5-10,non-HCS
2024-05-01 00:00:00,1444731,416832,23.61,11.1,10-15,non-HCS
2024-05-01 00:00:00,1445731,415832,43.25,20.33,20-25,HCS
2024-05-01 00:00:00,1407415,450100,18.91,8.89,5-10,non-HCS
2024-05-01 00:00:00,1407408,451100,36.78,17.29,15-20,HCS
2024-05-01 00:00:00,1408415,450100,22.85,10.74,10-15,non-HCS
2024-05-01 00:00:00,1406415,450100,44.22,20.78,20-25,HCS
2024-05-01 00:00:00,1407415,449100,41.75,19.62,15-20,HCS
2024-05-01 00:00:00,1402135,474632,17.74,8.34,5-10,non-HCS
2024-05-01 00:00:00,1402135,475632,28.93,13.6,10-15,non-HCS
2024-05-01 00:00:00,1403135,474632,14.64,6.88,5-10,non-HCS
2024-05-01 00:00:00,1401135,474633,15.82,7.44,5-10,non-HCS
2024-05-01 00:00:00,1402128,473632,55.83,26.24,>=25,HCS
2024-05-01 00:00:00,1386827,444295,12.18,5.72,5-10,non-HCS
2024-05-01 00:00:00,1386827,444795,39.35,18.49,15-20,HCS
2024-05-01 00:00:00,1387327,444295,41.09,19.31,15-20,HCS
2024-05-01 00:00:00,1386327,444295,57.75,27.14,>=25,HCS
2024-05-01 00:00:00,1386827,443795,21.92,10.3,10-15,non-HCS
2024-05-01 00:00:00,1409135,425274,29.62,13.92,10-15,non-HCS
2024-05-01 00:00:00,1409135,426274,35.63,16.75,15-20,HCS
2024-05-01 00:00:00,1410135,425274,15.17,7.13,5-10,non-HCS
2024-05-01 00:00:00,1408135,425273,33.5,15.74,15-20,HCS
2024-05-01 00:00:00,1413732,400618,18.68,8.78,5-10,non-HCS
2024-05-01 00:00:00,1413732,401618,19.51,9.17,5-10,non-HCS
2024-05-01 00:00:00,1414732,400618,11.78,5.54,5-10,non-HCS
2024-05-01 00:00:00,1412732,400618,11.96,5.62,5-10,non-HCS
2024-05-01 00:00:00,1413732,399618,22.55,10.6,10-15,non-HCS
